,X,Y,ASN,Peer IP,Continent,Colors
198.32.243.133,-4.941649,6.0818944,199524,198.32.243.133,Europe,3
198.32.243.161,6.256351,116.88201,262206,198.32.243.161,North America,2
198.32.243.174,6.250905,62.169857,10310,198.32.243.174,North America,2
198.32.243.181,-27.397766,9.456604,51185,198.32.243.181,Europe,3
198.32.243.189,5.8456917,15.08527,32098,198.32.243.189,North America,2
198.32.243.217,6.7701554,9.624038,37468,198.32.243.217,Africa,0
198.32.243.219,-6.4637933,5.2837415,393950,198.32.243.219,North America,2
198.32.243.47,0.2711115,5.528725,7195,198.32.243.47,South America,4
198.32.243.99,6.250905,62.169857,714,198.32.243.99,North America,2
198.58.198.252,2.1001854,-21.940857,1403,198.58.198.252,North America,2
2.56.11.1,-7.733329,7.7211256,34854,2.56.11.1,Europe,3
200.40.162.202,-2.5573924,1.6151128,6057,200.40.162.202,South America,4
200.7.84.35,3.3531594,61.988,28000,200.7.84.35,South America,4
2001:12f8::102,2.929532,-19.85338,53070,2001:12f8::102,South America,4
2001:12f8::121,3.7618377,-21.909813,42473,2001:12f8::121,Europe,3
2001:12f8::127,6.250905,62.169857,25933,2001:12f8::127,South America,4
2001:12f8::20,-8.292088,-17.35891,28571,2001:12f8::20,South America,4
2001:12f8::208:144,4.414113,-25.575754,24482,2001:12f8::208:144,Asia,1
2001:12f8::210:177,-6.6732984,-17.833853,52814,2001:12f8::210:177,South America,4
2001:12f8::210:50,3.299353,-21.259825,61595,2001:12f8::210:50,South America,4
2001:12f8::217:110,2.0508356,-19.19087,23106,2001:12f8::217:110,South America,4
2001:12f8::217:161,-6.709102,-30.17548,13786,2001:12f8::217:161,North America,2
2001:12f8::217:186,1.5356727,-31.365068,1828,2001:12f8::217:186,North America,2
2001:12f8::217:238,0.62392604,61.31103,7195,2001:12f8::217:238,South America,4
2001:12f8::217:48,3.7472808,-25.053646,16735,2001:12f8::217:48,South America,4
2001:12f8::217:59,2.4919662,-19.091595,23106,2001:12f8::217:59,South America,4
2001:12f8::219,2.882839,-19.868273,14840,2001:12f8::219,South America,4
2001:12f8::219:162,4.3305216,-20.134947,52863,2001:12f8::219:162,South America,4
2001:12f8::219:51,1.2990351,-15.903227,28186,2001:12f8::219:51,South America,4
2001:12f8::220:210,4.4357777,-20.890366,263508,2001:12f8::220:210,South America,4
2001:12f8::220:214,2.8612301,-17.682356,53067,2001:12f8::220:214,South America,4
2001:12f8::220:216,-4.6324015,-27.669579,52873,2001:12f8::220:216,South America,4
2001:12f8::220:80,-3.6178079,-29.22215,267613,2001:12f8::220:80,South America,4
2001:12f8::221:193,14.158848,71.67939,37468,2001:12f8::221:193,Africa,0
2001:12f8::221:238,9.907729,74.99249,262317,2001:12f8::221:238,South America,4
2001:12f8::222:107,3.961586,-20.269045,263152,2001:12f8::222:107,South America,4
2001:12f8::222:229,2.685284,-20.20585,199524,2001:12f8::222:229,Europe,3
2001:12f8::222:45,4.2217946,-21.788042,263237,2001:12f8::222:45,South America,4
2001:13c7:7001:4032::35,-5.396075,-16.827866,28000,2001:13c7:7001:4032::35,South America,4
2001:1890:111d:1::63,2.699464,-26.48407,7018,2001:1890:111d:1::63,North America,2
2001:19f0:5001:1cb5:5400:1ff:fed6:7f3f,14.158848,71.67939,48292,2001:19f0:5001:1cb5:5400:1ff:fed6:7f3f,Asia,1
2001:200:0:fe00::12a9:0,-1.8550138,-19.848879,4777,2001:200:0:fe00::12a9:0,Oceania,6
2001:200:0:fe00::6249:0,3.6096265,-23.4014,25152,2001:200:0:fe00::6249:0,Europe,3
2001:200:0:fe00::9c1:0,10.896171,-35.26789,2497,2001:200:0:fe00::9c1:0,Asia,1
2001:43f8:6d0::133,12.527007,77.08636,8075,2001:43f8:6d0::133,North America,2
2001:43f8:6d0::139,9.907729,74.99249,32653,2001:43f8:6d0::139,Africa,0
