"ROUTEVIEWS_COLLECTOR","ASNUMBER","REGION","PREFIXES"
"route-views.linx.routeviews.org","8426","GB","ripencc"
"route-views.linx.routeviews.org","5511","FR","ripencc"
"route-views.linx.routeviews.org","6730","CH","ripencc"
"route-views.linx.routeviews.org","6830","NL","ripencc"
"route-views.linx.routeviews.org","13237","DE","ripencc"
"route-views.linx.routeviews.org","6667","FI","ripencc"
"route-views.linx.routeviews.org","14537","US","arin"
"route-views.linx.routeviews.org","2914","US","arin"
"route-views.linx.routeviews.org","6762","IT","ripencc"
"route-views.linx.routeviews.org","16552","US","arin"
"route-views.linx.routeviews.org","38880","AU","apnic"
"route-views.linx.routeviews.org","3491","US","arin"
"route-views.linx.routeviews.org","13030","CH","ripencc"
"route-views.linx.routeviews.org","31500","AG","ripencc"
"route-views.linx.routeviews.org","5459","GB","ripencc"
"route-views.linx.routeviews.org","34288","CH","ripencc"
"route-views.linx.routeviews.org","35313","BH","ripencc"
"route-views.linx.routeviews.org","8674","SE","ripencc"
"route-views.linx.routeviews.org","8674","SE","ripencc"
"route-views.linx.routeviews.org","38182","MY","apnic"
"route-views.linx.routeviews.org","41811","GB","ripencc"
"route-views.linx.routeviews.org","47787","PT","ripencc"
"route-views.linx.routeviews.org","14061","US","arin"
"route-views.linx.routeviews.org","59605","BH","ripencc"
"route-views.linx.routeviews.org","267613","BR","lacnic"
"route-views.linx.routeviews.org","41695","GB","ripencc"
"route-views.linx.routeviews.org","39122","IE","ripencc"
"route-views.linx.routeviews.org","37271","ZA","afrinic"
"route-views.linx.routeviews.org","714","US","arin"
"route-views.linx.routeviews.org","58511","AU","apnic"
"route-views.linx.routeviews.org","62955","US","arin"
"route-views.linx.routeviews.org","8455","NL","ripencc"
"route-views.linx.routeviews.org","398465","US","arin"
"route-views.linx.routeviews.org","4775","PH","apnic"
"route-views.linx.routeviews.org","5413","GB","ripencc"
"route-views.linx.routeviews.org","8426","GB","ripencc"
"route-views.linx.routeviews.org","6730","CH","ripencc"
"route-views.linx.routeviews.org","6667","FI","ripencc"
"route-views.linx.routeviews.org","3491","US","arin"
"route-views.linx.routeviews.org","13030","CH","ripencc"
"route-views.linx.routeviews.org","5459","GB","ripencc"
"route-views.linx.routeviews.org","199524","LU","ripencc"
"route-views.linx.routeviews.org","14061","US","arin"
"route-views.linx.routeviews.org","37271","ZA","afrinic"
"route-views.linx.routeviews.org","58511","AU","apnic"
"route-views.linx.routeviews.org","62955","US","arin"
"route-views.linx.routeviews.org","714","US","arin"
"route-views.linx.routeviews.org","2914","US","arin"
"route-views.linx.routeviews.org","3257","US","ripencc"
"route-views.linx.routeviews.org","3491","US","arin"
"route-views.linx.routeviews.org","4775","PH","apnic"
"route-views.linx.routeviews.org","5413","GB","ripencc"
"route-views.linx.routeviews.org","5459","GB","ripencc"
"route-views.linx.routeviews.org","6667","FI","ripencc"
"route-views.linx.routeviews.org","6762","IT","ripencc"
"route-views.linx.routeviews.org","6830","NL","ripencc"
"route-views.linx.routeviews.org","6939","US","arin"
"route-views.linx.routeviews.org","8426","GB","ripencc"
"route-views.linx.routeviews.org","8455","NL","ripencc"
"route-views.linx.routeviews.org","8674","SE","ripencc"
"route-views.linx.routeviews.org","8674","SE","ripencc"
"route-views.linx.routeviews.org","13030","CH","ripencc"
"route-views.linx.routeviews.org","16552","US","arin"
"route-views.linx.routeviews.org","34288","CH","ripencc"
"route-views.linx.routeviews.org","37271","ZA","afrinic"
"route-views.linx.routeviews.org","39122","IE","ripencc"
"route-views.linx.routeviews.org","41695","GB","ripencc"
"route-views.linx.routeviews.org","41811","GB","ripencc"
"route-views.linx.routeviews.org","47787","PT","ripencc"
"route-views.linx.routeviews.org","47957","FR","ripencc"
"route-views.linx.routeviews.org","35313","BH","ripencc"
"route-views.linx.routeviews.org","58511","AU","apnic"
"route-views.linx.routeviews.org","59605","BH","ripencc"
"route-views.linx.routeviews.org","62955","US","arin"
"route-views.linx.routeviews.org","267613","BR","lacnic"
"route-views.linx.routeviews.org","398465","US","arin"
"route-views.linx.routeviews.org","3491","US","arin"
"route-views.linx.routeviews.org","5413","GB","ripencc"
"route-views.linx.routeviews.org","5459","GB","ripencc"
"route-views.linx.routeviews.org","6667","FI","ripencc"
"route-views.linx.routeviews.org","8426","GB","ripencc"
"route-views.linx.routeviews.org","13030","CH","ripencc"
"route-views.linx.routeviews.org","37271","ZA","afrinic"
"route-views.linx.routeviews.org","58511","AU","apnic"
"route-views.linx.routeviews.org","62955","US","arin"
"route-views.linx.routeviews.org","199524","LU","ripencc"
"route-views.mwix.routeviews.org","19782","US","arin"
"route-views.mwix.routeviews.org","63293","US","arin"
"route-views.mwix.routeviews.org","19782","US","arin"
"route-views.mwix.routeviews.org","63293","US","arin"
"route-views.napafrica.routeviews.org","327991","ZA","afrinic"
"route-views.napafrica.routeviews.org","37468","AO","afrinic"
"route-views.napafrica.routeviews.org","328512","ZA","afrinic"
"route-views.napafrica.routeviews.org","3741","ZA","afrinic"
"route-views.napafrica.routeviews.org","32653","ZA","afrinic"
"route-views.napafrica.routeviews.org","3491","US","arin"
"route-views.napafrica.routeviews.org","327754","ZA","afrinic"
"route-views.napafrica.routeviews.org","37053","ZA","afrinic"
"route-views.napafrica.routeviews.org","37497","ZA","afrinic"
"route-views.napafrica.routeviews.org","2018","ZA","afrinic"
"route-views.napafrica.routeviews.org","36968","ZA","afrinic"
