,ASN,prefix
5,138322,0.07121
4,9318,0.07329
6,30689,0.07346
5,23947,0.07347
4,29049,0.0739
4,36944,0.07423
6,43733,0.07474
5,12297,0.0751
7,37371,0.07916
7,10075,0.07958
6,24835,0.08059
5,18809,0.08174
4,37183,0.08268
5,33771,0.08304
6,29170,0.08383
6,15924,0.08511
5,8400,0.08711
3,35753,0.08978
6,17494,0.09058
4,27665,0.09228
5,5603,0.09255
5,132528,0.09311
4,34984,0.09321
5,27986,0.09783
6,12491,0.0999
4,132602,0.10237
5,13489,0.10419
4,24863,0.10684
5,50245,0.10806
4,3269,0.10831
4,38176,0.10939
3,60280,0.11024
4,33576,0.11251
3,37517,0.114
4,41313,0.11468
3,6682,0.12517
2,58682,0.12862
4,64049,0.1288
5,4648,0.12921
2,30985,0.13043
3,37204,0.13304
2,63351,0.13317
2,15706,0.13486
2,60330,0.13656
3,43612,0.13803
2,15433,0.14034
2,39386,0.1406
4,45355,0.14226
3,55805,0.14388
2,38193,0.14695
4,34718,0.15295
2,139089,0.15654
1,12406,0.15657
2,3786,0.15822
2,327732,0.16132
2,205996,0.16244
3,132579,0.16258
3,8048,0.16308
1,58717,0.16921
2,42313,0.17011
1,42705,0.1706
2,52262,0.17267
3,4651,0.17717
2,34772,0.18448
3,39032,0.18627
2,12713,0.19649
2,7470,0.1977
2,4755,0.20849
1,55330,0.2149
3,328107,0.22028
1,8346,0.23541
3,58731,0.2383
2,23657,0.23953
1,8657,0.2609
1,20771,0.26271
3,33788,0.2669
2,12252,0.27028
1,19711,0.2788
2,29571,0.28208
1,328442,0.28451
1,37282,0.31603
2,38456,0.31746
1,12975,0.31764
1,59605,0.32529
1,38040,0.34245
1,9241,0.34549
1,37529,0.35006
2,60171,0.36264
1,3356,0.37182
1,30844,0.40339
1,8452,0.4388
1,15964,0.44418
1,5391,0.44678
1,16637,0.45854
1,45204,0.46068
1,1299,0.46791
1,36994,0.50539
1,45489,0.544
1,8697,0.56795
1,30990,0.58367
1,174,0.58757
1,37662,0.62766
1,5666,0.63492
1,23520,0.74941
1,139609,0.78819
1,327903,0.79888
1,37558,0.95908
141,49788,1e-05
93,7992,1e-05
146,17984,1e-05
147,15738,1e-05
91,65001,1e-05
212,14867,1e-05
219,11172,1e-05
220,10835,1e-05
205,209235,1e-05
203,21575,1e-05
202,21777,1e-05
185,28124,1e-05
186,28006,1e-05
187,27988,1e-05
189,27882,1e-05
190,27837,1e-05
191,267788,1e-05
193,26619,1e-05
194,26613,1e-05
195,26554,1e-05
196,263702,1e-05
198,25899,1e-05
199,22724,1e-05
192,266816,1e-05
131,24778,1e-05
125,42649,1e-05
126,37153,1e-05
136,11081,1e-05
123,51964,1e-05
519,9430,1e-05
197,13536,1e-05
191,2119,1e-05
182,47674,1e-05
198,1267,1e-05
610,133986,1e-05
590,138241,1e-05
592,137642,1e-05
593,136704,1e-05
594,136642,1e-05
596,136449,1e-05
597,135814,1e-05
598,135795,1e-05
599,135724,1e-05
601,135242,1e-05
602,135214,1e-05
603,134858,1e-05
604,134674,1e-05
605,134343,1e-05
606,134289,1e-05
607,134264,1e-05
608,134021,1e-05
609,133989,1e-05
600,135257,1e-05
589,138290,1e-05
163,8781,1e-05
165,60849,1e-05
626,10912,1e-05
624,11051,1e-05
611,13354,1e-05
612,133469,1e-05
613,133269,1e-05
615,132961,1e-05
616,132787,1e-05
617,132754,1e-05
618,132335,1e-05
614,133232,1e-05
588,138733,1e-05
586,15802,1e-05
530,7004,1e-05
531,6663,1e-05
532,65010,1e-05
537,59179,1e-05
538,58552,1e-05
540,55441,1e-05
541,54103,1e-05
542,52965,1e-05
544,4847,1e-05
546,4758,1e-05
547,47536,1e-05
529,7385,1e-05
527,7617,1e-05
526,7713,1e-05
549,45954,1e-05
517,9911,1e-05
518,9466,1e-05
523,8167,1e-05
524,8151,1e-05
550,45694,1e-05
551,45648,1e-05
552,45284,1e-05
566,32097,1e-05
567,26769,1e-05
568,2647,1e-05
569,2634,1e-05
571,24516,1e-05
572,21788,1e-05
575,199569,1e-05
578,17813,1e-05
579,17771,1e-05
580,17675,1e-05
582,17447,1e-05
584,16967,1e-05
576,198949,1e-05
564,32787,1e-05
553,4466,1e-05
555,42473,1e-05
560,35937,1e-05
561,35819,1e-05
220,59318,1e-05
97,38880,1e-05
102,28032,1e-05
295,17676,1e-05
122,57811,1e-05
124,47764,1e-05
127,34421,1e-05
132,24753,1e-05
136,201029,1e-05
137,196844,1e-05
116,8764,1e-05
288,65012,1e-05
97,15399,1e-05
138,6739,1e-05
179,3132,1e-05
161,7049,1e-05
163,6568,1e-05
255,10021,1e-05
250,135419,1e-05
245,18479,1e-05
247,16713,1e-05
248,15836,1e-05
249,1280,1e-05
245,196621,1e-05
216,7642,1e-05
214,7671,1e-05
211,8359,1e-05
218,61292,1e-05
170,52330,1e-05
175,398107,1e-05
207,9902,1e-05
239,23969,1e-05
232,36384,1e-05
228,45259,1e-05
227,45328,1e-05
226,45413,1e-05
225,45558,1e-05
222,57118,1e-05
242,22860,1e-05
265,29262,1e-05
261,3249,1e-05
260,3302,1e-05
258,34549,1e-05
257,35320,1e-05
254,39216,1e-05
251,41689,1e-05
249,42652,1e-05
247,46475,1e-05
268,29014,1e-05
269,262287,1e-05
143,12578,1e-05
285,12779,1e-05
282,15694,1e-05
281,16097,1e-05
246,46844,1e-05
275,208293,1e-05
274,21413,1e-05
271,25761,1e-05
279,200334,1e-05
245,47147,1e-05
244,48011,1e-05
243,50300,1e-05
222,7162,1e-05
224,58073,1e-05
219,8926,1e-05
231,395378,1e-05
236,28005,1e-05
237,27008,1e-05
238,26615,1e-05
239,263682,1e-05
241,25192,1e-05
241,55002,1e-05
239,61297,1e-05
238,62955,1e-05
231,8685,1e-05
229,8767,1e-05
164,61400,1e-05
166,24745,1e-05
232,8529,1e-05
80,38220,1e-05
257,38082,1e-05
256,38701,1e-05
250,6619,1e-05
263,23575,1e-05
265,18033,1e-05
246,9950,1e-05
158,19114,1e-05
233,205103,1e-05
268,10160,1e-05
173,38622,1e-05
171,57344,1e-05
178,24589,1e-05
191,10391,1e-05
186,14492,1e-05
89,3215,1e-05
112,3908,1e-05
232,20676,1e-05
229,39540,1e-05
230,38561,1e-05
231,3326,1e-05
111,9929,1e-05
113,57740,1e-05
114,5713,1e-05
115,55559,1e-05
116,55329,1e-05
220,8985,1e-05
103,203217,1e-05
228,43727,1e-05
101,50597,1e-05
224,64432,1e-05
221,8674,1e-05
219,9049,1e-05
126,24492,1e-05
80,4837,1e-05
152,35699,2e-05
205,19747,2e-05
207,18734,2e-05
209,1680,2e-05
206,19429,2e-05
211,15440,2e-05
84,20001,2e-05
156,43201,2e-05
155,577,2e-05
91,25478,2e-05
160,17139,2e-05
159,23059,2e-05
208,6696,2e-05
209,47123,2e-05
212,28907,2e-05
213,21385,2e-05
214,202422,2e-05
216,136620,2e-05
91,18747,2e-05
85,13004,2e-05
195,55808,2e-05
227,12880,2e-05
197,45142,2e-05
