loc,IPv,Y,X,AS_rank_continent,Colors,ASN
GLOBAL,4,1,-0.4250172657158588,North America,3,398398
GLOBAL,4,1,-0.4250172657158588,North America,3,393515
GLOBAL,4,1,-0.4250172657158588,North America,3,393346
GLOBAL,4,1,-0.3411509686774679,North America,3,398745
GLOBAL,4,1,-0.4250172657158588,North America,3,54751
GLOBAL,4,1,-0.4250172657158588,North America,3,55223
GLOBAL,4,1,-0.4250172657158588,North America,3,63241
GLOBAL,4,1,-0.4250172657158588,North America,3,54897
GLOBAL,4,1,-0.4250172657158588,North America,3,26154
GLOBAL,4,1,-0.4250172657158588,North America,3,54343
GLOBAL,4,1,-0.37615304609911415,North America,3,396408
GLOBAL,4,1,-0.4250172657158588,North America,3,396916
GLOBAL,4,1,-0.4250172657158588,North America,3,23103
GLOBAL,4,1,-0.4250172657158588,North America,3,62672
GLOBAL,4,1,-0.3411509686774679,North America,3,26653
GLOBAL,4,1,-0.4250172657158588,North America,3,393664
GLOBAL,4,1,-0.4250172657158588,North America,3,398409
GLOBAL,4,1,-0.4250172657158588,North America,3,11959
GLOBAL,4,1,-0.4250172657158588,North America,3,17355
GLOBAL,4,1,-0.4781598643987653,North America,3,396939
GLOBAL,4,1,-0.4250172657158588,North America,3,395392
GLOBAL,4,1,-0.3411509686774679,North America,3,23330
GLOBAL,4,1,-0.4250172657158588,North America,3,398404
GLOBAL,4,1,-0.4250172657158588,North America,3,40853
GLOBAL,4,1,-0.4250172657158588,North America,3,63070
GLOBAL,4,1,-0.4250172657158588,North America,3,25630
GLOBAL,4,1,-0.4250172657158588,North America,3,32534
GLOBAL,4,1,-0.41294306079160153,,4,30654
GLOBAL,4,1,-0.3411509686774679,North America,3,6434
GLOBAL,4,1,-0.4250172657158588,North America,3,393800
GLOBAL,4,1,-0.3411509686774679,North America,3,394295
GLOBAL,4,1,-0.4250172657158588,North America,3,13383
GLOBAL,4,1,-0.4250172657158588,North America,3,36484
GLOBAL,4,1,-0.4250172657158588,North America,3,40303
GLOBAL,4,1,-0.4250172657158588,North America,3,394442
GLOBAL,4,1,-0.4250172657158588,North America,3,53382
GLOBAL,4,1,-0.4250172657158588,North America,3,32863
GLOBAL,4,1,-0.4250172657158588,North America,3,14761
GLOBAL,4,1,-0.4250172657158588,North America,3,29786
GLOBAL,4,1,-0.41294306079160153,,4,19359
GLOBAL,4,1,-0.3411509686774679,North America,3,19543
GLOBAL,4,1,-0.32422082714937517,North America,3,397571
GLOBAL,4,1,-0.4250172657158588,North America,3,17357
GLOBAL,4,1,-0.4250172657158588,North America,3,15050
GLOBAL,4,1,-0.4250172657158588,North America,3,397067
GLOBAL,4,1,-0.4250172657158588,North America,3,396405
GLOBAL,4,1,-0.4250172657158588,North America,3,27457
GLOBAL,4,1,-0.4250172657158588,North America,3,46390
GLOBAL,4,1,-0.4250172657158588,North America,3,18698
GLOBAL,4,1,-0.3411509686774679,North America,3,394178
GLOBAL,4,1,-0.4250172657158588,North America,3,395673
GLOBAL,4,1,-0.4250172657158588,North America,3,36661
GLOBAL,4,1,-0.4250172657158588,North America,3,27245
GLOBAL,4,1,-0.4250172657158588,North America,3,32884
GLOBAL,4,1,-0.4250172657158588,North America,3,40167
GLOBAL,4,1,-0.32422082714937517,North America,3,22389
GLOBAL,4,1,-0.4250172657158588,North America,3,32355
GLOBAL,4,1,-0.37615304609911415,North America,3,30266
GLOBAL,4,1,-0.40587510509227626,Europe,1,31015
GLOBAL,4,1,-0.4250172657158588,North America,3,19316
GLOBAL,4,1,-0.4250172657158588,North America,3,30112
GLOBAL,4,1,-0.3411509686774679,North America,3,63261
GLOBAL,4,1,-0.4250172657158588,North America,3,32565
GLOBAL,4,1,-0.45640006672813216,North America,3,54594
GLOBAL,4,1,-0.4250172657158588,North America,3,32650
GLOBAL,4,1,-0.4250172657158588,North America,3,26778
GLOBAL,4,1,-0.4250172657158588,North America,3,54143
GLOBAL,4,1,-0.4250172657158588,North America,3,36340
GLOBAL,4,1,-0.32422082714937517,North America,3,30555
GLOBAL,4,1,-0.4250172657158588,North America,3,40930
GLOBAL,4,1,-0.4250172657158588,North America,3,33577
GLOBAL,4,1,-0.46790093697018226,North America,3,11457
GLOBAL,4,1,-0.4250172657158588,North America,3,23385
GLOBAL,4,1,-0.4250172657158588,North America,3,394491
GLOBAL,4,1,-0.3411509686774679,North America,3,53331
GLOBAL,4,1,-0.4250172657158588,North America,3,23325
GLOBAL,4,1,-0.4250172657158588,North America,3,16407
GLOBAL,4,1,-0.41862449378896605,North America,3,32396
GLOBAL,4,1,-0.4250172657158588,North America,3,32761
GLOBAL,4,1,-0.4250172657158588,North America,3,11903
GLOBAL,4,1,-0.4250172657158588,North America,3,19601
