,bias,links,comms
31742,-0.05192421755449983,653.0,0.0
30950,-0.051733014777088915,52.0,0.0
12605,-0.05165330456723405,,
8551,-0.0512963605234229,,
207910,-0.05120539678732383,2111.0,6942.0
204092,-0.048977822761875345,583.0,14627.0
55720,-0.04888811658785297,486.0,0.0
5430,-0.04821269657085958,,
13189,-0.04591179369424214,,
134823,-0.04569047162591433,1179.0,15345.0
15699,-0.044987084130876376,,
31554,-0.04489063381621916,,
852,-0.04126022323989176,286.0,67.0
206499,-0.04117731585189244,67.0,25134.0
32098,-0.04096238216634296,,
7195,-0.040542349250827225,,
32934,-0.039641781737742576,,
34288,-0.03907650667975826,1607.0,13529.0
38496,-0.038010562429113826,,
42,-0.037864575372870135,,
5603,-0.037245788075146447,,
6461,-0.03601272472636419,,
35320,-0.03563990753193691,,
11403,-0.034241381358701695,,
3491,-0.03398849000005866,147.0,18567.0
33132,-0.03315530778604803,,
5403,-0.03299880527275478,,
62167,-0.03293242950846986,1540.0,0.0
49709,-0.032192785518958544,,
56430,-0.030856753803643056,1967.0,10.0
22652,-0.030697636352372548,411.0,16992.0
28824,-0.030120747310247165,28.0,21633.0
6939,-0.02999684745689235,,
12956,-0.02945090344969037,,
16509,-0.028226085794280653,,
32787,-0.028069043033362995,,
59816,-0.026849457294297885,,
28760,-0.026325706960805828,,
2686,-0.026081582497483602,,
25198,-0.025984222687824854,,
20080,-0.025769393549590625,203.0,12651.0
202365,-0.025397110700364767,577.0,30613.0
22548,-0.025327324204627022,1920.0,17948.0
3280,-0.02480486946615512,735.0,15263.0
11164,-0.0245100891151373,,
21232,-0.023923446532370107,205.0,0.0
131477,-0.02357381067664699,229.0,5325.0
262206,-0.023397938337077484,,
327813,-0.02336819204524776,,
8816,-0.023088670502979802,,
64475,-0.021972859057095562,854.0,23118.0
49102,-0.021105501224993883,123.0,3071.0
1239,-0.020092781756819722,268.0,0.0
207044,-0.01984921667099737,617.0,8526.0
8648,-0.019519234437981314,,
2914,-0.01913794071289887,7.0,11839.0
62955,-0.01625286302043838,,
6720,-0.01569485300471074,1365.0,4.0
37640,-0.014200164680355787,,
50763,-0.013648047595149482,,
264479,-0.01357368705446893,5039.0,0.0
199283,-0.013201715848165652,,
49420,-0.013093548169684777,2809.0,7494.0
28792,-0.01305116918015603,,
35710,-0.012132853995394655,46.0,0.0
51873,-0.011696622922174882,251.0,3487.0
46450,-0.010791592451742105,,
138128,-0.01029003975490106,,
49835,-0.009706766794004285,,
12355,-0.009669328893757712,,
29680,-0.009071065995869265,637.0,7709.0
2857,-0.007469111207825119,,
199181,-0.0072320271957249105,309.0,33.0
3549,-0.005729591559400227,169.0,21880.0
39107,-0.005463933142380029,,
31313,-0.005223143256460894,,
3333,-0.0050233558171575154,687.0,19091.0
34790,-0.003969135494652498,,
51185,-0.0027928318720782386,4606.0,0.0
139836,-0.001995917501573796,,
206356,-0.001001882408213639,956.0,13594.0
13041,-0.0008025457488125554,,
12307,-0.0007539794015354317,197.0,21601.0
24592,-0.00018688426280943915,,
39533,8.846323273914436e-06,34.0,11830.0
210937,0.0004070325525962204,,
132847,0.0011147018622592597,451.0,11068.0
1140,0.0012623089488572603,,
39651,0.00192050514269404,,
33845,0.0033264269862609552,,
15692,0.004328157329869242,,
51333,0.005741582811968904,,
37650,0.006057309670781663,,
28788,0.009123549440492873,,
45437,0.009393583953198892,,
49432,0.01028661503690298,121.0,0.0
199938,0.01032408504209048,1352.0,9658.0
4608,0.010470086984093463,1214.0,0.0
22691,0.011010953415913072,,
59890,0.011195469567382155,1370.0,22922.0
5392,0.0130627488427848,212.0,22081.0
48571,0.013824707741538766,,
142289,0.014598224600725906,,
1126,0.014874645553564214,,
6453,0.015073253494302108,129.0,0.0
62166,0.0163419846834989,,
39668,0.016958593341054318,,
12470,0.018419367335553716,923.0,16226.0
14061,0.019701922019699225,1747.0,35302.0
57111,0.020085764973387654,267.0,7665.0
5390,0.020329557314946456,,
196621,0.02293908282016144,307.0,23069.0
44030,0.025066354624736498,,
132825,0.025395098141811623,100.0,0.0
393950,0.02554396454077512,,
12902,0.029181390915389294,,
8224,0.029654938079270998,,
206313,0.03056365487668078,1218.0,22801.0
6391,0.0314289282435265,,
207968,0.032337284461525506,,
714,0.03258113829689435,,
2895,0.03361100424128516,1980.0,0.0
328320,0.03395967289614443,,
49463,0.03541914903997245,,
37546,0.035510594976218,,
263152,0.03692401855903693,1890.0,14711.0
327983,0.03964867365142677,,
2613,0.04196970472769568,304.0,19262.0
9026,0.042166650137343,,
20751,0.042922625785735136,,
198249,0.04315186105670055,,
20205,0.045066103343338604,80.0,190.0
41953,0.04597481265820047,,
3301,0.04969953336095845,,
34723,0.04981720373284926,,
29527,0.050797947615888184,,
213050,0.05158583845394915,,
21099,0.05212745725311496,,
59919,0.054071548685730164,246.0,12300.0
202032,0.05577094286215445,,
8387,0.05685197800135988,,
21412,0.05826795125842832,1472.0,8774.0
59891,0.05927941123209379,182.0,10.0
39202,0.06198554297014436,,
12895,0.06253567138363447,,
202617,0.06437092362396868,,
198290,0.06484038333873787,,
202297,0.06540495627935794,,
48821,0.06543752393401991,228.0,24128.0
12577,0.066049268519075,,
16298,0.06627904617044766,,
1280,0.06638968361505349,84.0,0.0
174,0.06806981018172564,30.0,0.0
197301,0.06820848680868519,,
