ASN,Location bias,Network size bias,Topology bias,IXP related bias,Network type bias,RIR region,Customer cone (#ASNs),Customer cone (#prefixes),Location (country),#neighbors (total),Scope (PeeringDB),Network type (PeeringDB),Peering policy (PeeringDB),#IXPs (PeeringDB),#facilities (PeeringDB),is_in_peeringDB,is_ris_peer_v4,is_ris_peer_v6,is_routeviews_peer
399081,-0.13,-0.61,-0.07,0.0,-0.01,ARIN,1.0,0.0,US,1.0,,,,,,0.0,,,
41799,0.04,-0.18,-0.12,0.0,-0.01,RIPE,1.0,3.0,BG,2.0,,,,,,0.0,,,
41802,0.04,-0.01,0.02,-0.12,-0.06,RIPE,2.0,9.0,RU,13.0,Regional,Cable/DSL/ISP,Open,2.0,0.0,1.0,,,
41803,0.04,-0.18,-0.03,0.0,-0.01,RIPE,1.0,1.0,BG,4.0,,,,,,0.0,,,
399082,-0.13,-0.18,-0.12,0.0,-0.01,ARIN,1.0,2.0,US,2.0,,,,,,0.0,,,
41805,-0.0,0.04,-0.02,0.32,-0.06,RIPE,7.0,103.0,IQ,1894.0,Global,Network Services,Selective,8.0,3.0,1.0,,,1.0
41807,0.03,-0.09,-0.12,0.0,-0.01,RIPE,1.0,2.0,RO,2.0,,,,,,0.0,,,
41808,0.05,-0.05,-0.12,0.0,-0.01,RIPE,1.0,1.0,FI,2.0,,,,,,0.0,,,
41809,0.04,-0.01,-0.04,0.0,-0.25,RIPE,1.0,12.0,PL,10.0,Not Disclosed,Cable/DSL/ISP,Open,3.0,2.0,1.0,,,
41811,0.05,0.04,0.02,0.02,0.03,RIPE,5.0,51.0,GB,728.0,Regional,NSP,Open,3.0,6.0,1.0,,,1.0
41812,0.04,-0.18,-0.12,0.0,-0.01,RIPE,1.0,2.0,RU,2.0,,,,,,0.0,,,
41814,0.05,-0.18,-0.12,0.0,-0.01,RIPE,1.0,1.0,DE,2.0,,,,,,0.0,,,
41816,0.04,-0.05,-0.03,0.0,-0.01,RIPE,1.0,8.0,RU,3.0,,,,,,0.0,,,
41819,0.05,-0.18,-0.12,0.0,-0.01,RIPE,1.0,1.0,SE,2.0,,,,,,0.0,,,
